process,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea ,caused insomnia
throw every morning doctor give claritin med help even help nausea,yes,2,female,no,no,no,no,no,no,no,no,no,no
kris l gy yes took sudefed dayquil amp claritin situation open cabinet take whatever dry snot,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin work n nidk take,yes,2,male,no,no,no,no,no,no,yes,no,no,no
omg wheres claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
live claritin clear motha fucka,yes,4,male,no,no,no,no,no,no,no,no,no,no
one introduced claritin blessyouontoday,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin zyrtec good enough job suppressing histamine response clear snot stop,yes,2,female,no,no,no,no,no,no,yes,no,no,no
isacat know think need take claritin lol,yes,4,female,no,no,no,no,no,no,no,no,no,no
ok claritin job ahchoo,yes,4,female,no,no,no,no,no,no,no,no,no,no
mother answer need bring claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
nooooo lt claritin rt taylornogang allergy season,yes,3,female,no,no,no,no,no,no,no,no,no,no
give one medicine per year stomach bug well claritin batmanrodriguez,yes,4,male,no,no,no,no,no,no,no,no,no,no
popped claritin sweet baby jesus heaven please work,yes,4,female,no,no,no,no,no,no,no,no,no,no
life claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
mrlady wind w zyrtec night claritin morning amp mucinexd w thanks patriot act get script otc mucinexd,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
claritin best friend lately,yes,5,male,no,no,no,no,no,no,no,no,no,no
ne thatguy nothing little claritin cant fix llh,yes,4,male,no,no,no,no,no,no,no,no,no,no
jeff corwin sexy claritin commercial smfh,yes,4,male,no,no,no,no,no,no,no,no,no,no
got total maybe hour sleep last night lesson learned take claritin bed,yes,2,unknown,no,no,no,no,no,no,no,no,no,yes
oconnor colleen ill probably start something painless like claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin clear,yes,4,female,no,no,no,no,no,no,no,no,no,no
jus wanna good samaritan vision clear claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
took screen protector phone year looked like one claritin commercial,yes,2,female,no,no,no,no,no,no,no,no,no,no
give claritin kid month old baby baby,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
took vitamin c airbournes multivitamin claritin throat lozenge feel like new woman,yes,5,female,no,no,no,no,no,no,no,no,no,no
day like make wish could claritin clear,yes,4,male,no,no,no,no,no,no,no,no,no,no
lacielaplante welcome dago enjoy santa ana wait november get real fun stock claritin saying,yes,3,female,no,no,no,no,no,no,no,no,no,no
dmataconis took claritin may need break tylenol cold shit,yes,3,female,no,no,no,no,no,no,no,no,no,no
allergy gave claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
thegiftedsoul allergy gave claritin haha ayeeeeee,yes,4,male,no,no,no,no,no,no,no,no,no,no
grandma worried bringing claritin school bc think steal make crystal meth lmao ohgrandma,yes,3,female,no,no,no,no,no,no,no,no,no,no
lol claritin make drowsy fuck,yes,2,female,no,no,no,no,no,no,no,no,no,no
yeah totally want claritin allergy season,yes,4,female,no,no,no,no,no,no,no,no,no,no
nervousjared damn cold happened week ago took claritin cold lasted day good luck,yes,4,male,no,no,no,no,no,no,no,no,no,no
jsanchezxvi uuu allergy got someone butt get ya claritin asap help,yes,4,female,no,no,no,no,no,no,no,no,no,no
briannabain claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
nose runnin allergy gave claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
like claritin commercial,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
may may went ape shit pharmacist cv gimme claritin heaux breathe,yes,4,female,no,no,no,no,no,no,no,no,no,no
masb taking sharing ur supervision experience claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
tea claritin bestfriends sicklife,yes,5,female,no,no,no,no,no,no,no,no,no,no
rt ak mclaughlin coming yearly sinus infection yuck mucinex claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
shewantyourdick lacking nutrient give vitamin n tadios amigoz claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
really wanna take advil headache wanna take claritin sinus,yes,4,female,no,no,no,no,no,no,no,no,no,no
knew allergy season season lasted year round would invested claritin stock sneezing ridiculous,yes,4,female,no,no,no,no,no,no,no,no,no,no
sneeze give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
clearly claritin clear,yes,4,male,no,no,no,no,no,no,no,no,no,no
car ready go home head hurtin need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
tinemarie thanks invite see stand claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
ever since doctor told allergy gotten worse think need mental help claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
girl sends text heyy im sick nshe want claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
clear claritin clear,yes,4,female,no,no,no,no,no,no,no,no,no,no
xsakura haruno claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
girl tell sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
ispeakcomedy girl sends text heyy im sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin holdin,yes,2,male,no,no,no,no,no,no,no,no,no,no
call tell sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
holllyyy molllyyy need claritin allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin clear rescue ihatebeingsick,yes,4,male,no,no,no,no,no,no,no,no,no,no
carriefromaz daughter took amp help rotate claritin amp zyrtec help switch,yes,4,female,no,no,no,no,no,yes,no,no,no,no
really like claritin carriefromaz sometimes use nasal spray,yes,4,female,no,no,no,no,no,no,no,no,no,no
need grab claritin,yes,5,female,no,no,no,no,no,no,no,no,no,no
know drug buy hustler corner claritin never,yes,3,male,no,no,no,no,no,no,no,no,no,no
allergy acting gonna take claritin play xbox,yes,4,female,no,no,no,no,no,no,no,no,no,no
sheewantsyourd stuffy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
want claritin hahaha,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin needa hurry kick n,yes,3,female,no,no,no,no,no,no,no,no,no,no
kyliekush kind got vitamin claritin sunny got,yes,3,male,no,no,no,no,no,no,no,no,no,no
endzoftheearth god bless claritin sneezing ease till took knock cold though,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl sick give claritin lmfao,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin lied lol nsaid non drowsy knocked since got home,yes,2,female,no,no,no,no,no,no,no,no,no,no
karma mohamed started bad left ear learned manage claritin night thing got better,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin hr,yes,3,female,no,no,no,no,no,no,no,no,no,no
tennis life c squaredbaby hoe text shes sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sneeze give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
hahaha get brauliomontalv girl sneeze give claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
work dq yo q give thed karlaaaak hahaha get brauliomontalv girl sneeze give claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
something wicked blowing around today sunday hike hr claritin lasted minute allergy,yes,2,male,no,no,no,no,no,no,yes,no,no,no
eliasgee lol claritin buddy,yes,4,female,no,no,no,no,no,no,no,no,no,no
victoriapinon aint got claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
allergy acting give claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
cattertonnn allergy acting give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
rt brauliomontalv girl sneeze give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
steviedaniel zyrtec r claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
allergic relationship baby boy claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
reason claritin always knock,yes,2,male,no,no,no,no,no,no,no,no,no,no
sneeze give claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
sneeze give claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
shevvantsthed sneeze give claritin lashsoccer,yes,4,female,no,no,no,no,no,no,no,no,no,no
vics foot claritin stomach suck n ricolas hello first sickness season,yes,3,male,no,no,no,no,no,no,no,no,no,no
diaraunguviolet ada sebutir claritin nganggur nggak di farmasi idung gue mampet semampet mampetnya ini,non_english,,,,,,,,,,,,
shevvantsthed sneeze give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
need claritin sleepover allergyprobz,yes,4,female,no,no,no,no,no,no,no,no,no,no
ichieksilog wala akong dalang zyrtec bumili akong claritin tissue kanina sa mercury naiwan ko pa sa unit ugh,non_english,,,,,,,,,,,,
goodlandrecords claritin,yes,2,unknown,no,no,no,no,no,no,no,no,no,no
mariannem rante nah sell ibuprofen claritin shit like drug noob,yes,3,female,no,no,no,no,no,no,no,no,no,no
day allergy act look like need big box claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
hoochiemomma home grabbing claritin allergy lol,yes,4,female,no,no,no,no,no,no,no,no,no,no
gave claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
never take claritin bed anxiety insomnia big time like needed extra anxiety medicine fallallergiescanbiteme,yes,2,female,no,no,no,no,no,no,no,no,no,yes
found one last claritin pill yay,yes,4,female,no,no,no,no,no,no,no,no,no,no
holy mother allergy get claritin even though nothing,yes,2,male,no,no,no,no,no,yes,no,no,no,no
claritin job ineedmyvoiceback sopranoprobs ihaverehearsaltonight,yes,3,male,no,no,no,no,no,no,no,no,no,no
nose stuffy luckily claritin mom room,yes,4,male,no,no,no,no,no,no,no,no,no,no
profesora mind take claritin hive hand foot crazy bike girl,yes,4,male,no,no,no,no,no,no,no,no,no,no
took non drowsy claritin p tired sluggish wana go home bed,yes,2,female,no,no,no,no,no,no,no,no,no,no
audreycastillo claritin tempra,yes,3,female,no,no,no,no,no,no,no,no,no,no
farahpink claritin may help u benadryl make u sleepy claritin ya gotta eventually make appt allergist,yes,4,female,no,no,no,no,no,no,no,no,no,no
got quite nice allergic reaction rash type thing happening arm claritin sight peachy,yes,2,female,no,no,no,no,no,no,no,no,no,no
remobui galvez shingalingding nagkape kami haha tara inom na uli laklak ka nalang claritin hahaha,non_english,,,,,,,,,,,,
fml need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin n histal,yes,4,female,no,no,no,no,no,no,no,no,no,no
reoccurring dream going nature walk ex boyfriend ex girlfriend set weird mood today blame claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
really need claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
claritin fail,yes,4,female,no,no,no,no,no,no,no,no,no,no
n mi yes claritin mucinex last night cough medicine get fever cry,yes,2,female,no,no,no,no,no,no,no,no,no,no
yes yes let force claritin flow,yes,4,female,no,no,no,no,no,no,no,no,no,no
lembas n coffee took claritin pjswan,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin asap,yes,3,male,no,no,no,no,no,no,no,no,no,no
picked perfect day forget take claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
hopefully claritin kick soon,yes,4,female,no,no,no,no,no,no,no,no,no,no
orlamcdermott claritin year clear flight torturing sinus infection always panadol amp sudafed,yes,2,male,no,no,no,no,no,no,no,no,no,no
anthfurnee fine probably allergy claritin fixed,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
gucci always sound like need claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
took claritin day better fuckin claritin clear,yes,4,female,no,no,no,no,no,no,no,no,no,no
sekarang obat biduran nambah claritin combantrin cimetidine yaaaaak triplec,non_english,,,,,,,,,,,,
sa mga nurse dyan ilang oras ang interval ng paginom ng claritin,non_english,,,,,,,,,,,,
weather absolutely kill allergy desperate need claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin coffee,yes,5,female,no,no,no,no,no,no,no,no,no,no
gwizthe need street cred claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
cchalatte antibiotic claritin amp nasal spray,yes,3,female,no,no,no,no,no,no,no,no,no,no
moinees yeah plus tylenol plus advil plus claritin allergy sinus far today,yes,3,male,no,no,no,no,no,no,no,no,no,no
mess without claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
nsf un claritin zyrtec sin la letra,non_english,,,,,,,,,,,,
nasonex claritin please,yes,4,female,no,no,no,no,no,no,no,no,no,no
bigsteve send em place give em claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
someone sit next class must dog co forgot take claritin morning amp allergy going haywire x p,yes,3,female,no,no,no,no,no,no,no,no,no,no
took claritin big cup coffee jittery af,yes,2,female,no,no,no,no,no,no,no,no,no,no
need claritin clear definitely feeling super groggyyy,yes,4,female,no,no,no,no,no,no,no,no,no,no
enviedby womany cchalatte antibiotic claritin amp nasal spray aww,yes,3,female,no,no,no,no,no,no,no,yes,no,no
thank goodness claritin going back bed,yes,5,male,no,no,no,no,no,no,no,no,no,no
aw crap guess took melatonin tablet instead claritin morning melt chair,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
max read take fistful claritin blowing dust one,yes,4,male,no,no,no,no,no,no,no,no,no,no
ahhhitsloveyou sudafed benadryl claritin advil throat spray yayy throat spray,yes,4,female,no,no,no,no,no,no,no,no,no,no
enough allergy business callin dr right something stronger claritin refuse sit beautiful day,yes,2,female,no,no,no,no,no,no,no,no,no,no
thank god claritin allergy,yes,5,female,no,no,no,no,no,no,no,no,no,no
well officially addicted claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
yazzykors obvious cuffin season think allergy kicking n gt better get claritin clear lol,yes,4,male,no,no,no,no,no,no,no,no,no,no
taking claritin mucinex without eating morning probably wisest decision sick,yes,2,female,no,no,no,no,no,no,no,yes,no,no
advil work let try claritin sigh maself,yes,4,female,no,no,no,no,no,no,no,no,no,no
ya tome la claritin esto lo puedo tomar gracias perdone la molestias,non_english,,,,,,,,,,,,
guess claritin wanna kick yet shrug,yes,2,female,no,no,no,no,no,yes,no,no,no,no
jakezuck claritin bitch,yes,2,male,no,no,no,no,no,no,no,no,no,no
cold give gt gt gt gt gt claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
want birthday claritin rt xosweet dream either getting sick allergy going crazy,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin work shit neither zertec thing work cheap nasal spray cv ran,yes,1,female,no,no,no,no,no,yes,no,no,no,no
popped claritin hope work cuz dying,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin better work,yes,3,female,no,no,no,no,no,no,no,no,no,no
gibbs tonysbabe ugh yeah taking non drowsy claritin get really bad thing seems work sinusessuck,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
please work claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
spent tablet fuck claritin,yes,1,female,no,no,no,no,no,no,no,no,no,no
think claritin clear every single time take sunglass,yes,4,female,no,no,no,no,no,no,no,no,no,no
def hate getting congested whenever forget take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
analishaa lynn wickkyyy cheap go get wal itin walgreens claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
od ing claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
analishaa lynn wickkyyy claritin lifesaver even go home without tugbert,yes,4,female,no,no,no,no,no,no,no,no,no,no
need take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
doctoredup taking dayquil claritin simultaneously bad idea cantstopsneezing leakyfaucetnose sorethroatsrus,yes,3,male,no,no,no,no,no,no,no,no,no,no
one want twitter page said got allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
think catching cold oh lord claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
iboechatw acho que vou dar um check na caixinha de claritin na sua casa,non_english,,,,,,,,,,,,
like claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
jennyandteets love claritin line funny part metro narc come looking lab house,yes,4,male,no,no,no,no,no,no,no,no,no,no
living claritin next day,yes,4,female,no,no,no,no,no,no,no,no,no,no
omg someone save claritin benedryl benedryl lol like eye starting get itchy,yes,3,female,no,no,no,no,no,no,no,no,no,no
allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
great claritin high please hotline follow addict trying combat first stage cold sniffle,yes,2,female,no,no,no,no,no,no,no,no,no,no
determined get skin track must drink water use moisturizer take claritin daily use exfoliant fml,yes,4,female,no,no,no,no,no,no,no,no,no,no
clurkudicatcher aight gotchu claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
pop claritin smh nose itching eye watery sneezing throat itching damn time,yes,3,female,no,no,no,no,no,no,no,no,no,no
franalapont tylenol claritin aqu hay na,non_english,,,,,,,,,,,,
chemobrainfog onco gave claritin asked cough bcsm,yes,3,female,no,no,no,no,no,no,no,no,no,no
bhillistad mrcmill vitamin c vitamin b claritin mucinex zinc n plenty water,yes,3,female,no,no,no,no,no,no,no,no,no,no
talknerdytoome take claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
uh oh stuffy nose itchy eye sneezing set within min claritin echinacea anti bacterial bed time fight iamnotsick,yes,3,female,no,no,no,no,no,no,no,no,no,no
thingsiwish wish taken claritin visiting melodiechoi wanted spend quality time,yes,2,female,no,no,no,no,no,no,no,no,no,no
luminous aura benadryl claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
girl sends sick want claritin hahahaha itsagans,yes,4,female,no,no,no,no,no,no,no,no,no,no
